barrio;ley;identificacion;circunscripcion;seccion;manzana;parcela;division;tipo_unidad;nrounidad;partidaunidad;digitoverificador;tipoplano;valuacionfiscal;nueva;mtstotales;mtscubiertos;habilitado
CABA;2095;24 DE NOVIEMBRE 1335;;;;;24 DE NOVIEMBRE 1335;Comercial;1;;;;;S;;;S
CABA;2095;9 de Julio e/ Lavalle y Tucumán Playas Subterránea 1277;;;;;9 de Julio e/ Lavalle y Tucumán Playas Subterránea 1277;Comercial;1;;;;;N;;;S
CABA;2095;9 de Julio entre Juncal y Santa Fé Leg 1278;;;;;9 de Julio entre Juncal y Santa Fé Leg 1278;Comercial;1;;;;;N;;;S
CABA;2095;ACBA 292;;;;;ACBA 292;Comercial;1;;;;0;N;0;0;S
CABA;2095;ADELINO LUIS DA COSTA 146;;;;;ADELINO LUIS DA COSTA 146;Comercial;1;;;;0;N;0;0;S
CABA;2095;ADRIAN FABIAN GARABENTO 976;;;;;ADRIAN FABIAN GARABENTO 976;Comercial;1;;;;0;N;0;0;S
CABA;2095;ADRIANA INES MOTA 718;;;;;ADRIANA INES MOTA 718;Comercial;1;;;;0;N;0;0;S
CABA;2095;AIRSEC 561;;;;;AIRSEC 561;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALCIRO MALDONADO 111;;;;;ALCIRO MALDONADO 111;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALEJANDRO PEDROARENA 728;;;;;ALEJANDRO PEDROARENA 728;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALEJANDROEMILIO PEDROARENA 1070;;;;;ALEJANDROEMILIO PEDROARENA 1070;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALFREDO LANGUILLA 1033;;;;;ALFREDO LANGUILLA 1033;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALGAM 552;;;;;ALGAM 552;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALGAM 989;;;;;ALGAM 989;Comercial;1;;;;0;N;0;0;S
CABA;2095;ALTOS DE ELORRIAGA;;;;;ADOLFO ALSINA 419;Comercial;1;;;;;S;;;S
CABA;2095;AMX Argentina 1210;;;;;AMX Argentina 1210;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANA ESTER CACOPARDO 660;;;;;ANA ESTER CACOPARDO 660;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANA MARIA RAGO 980;;;;;ANA MARIA RAGO 980;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANALOS 10;;;;;ANALOS 10;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANDREA ESTELA CANO VERGARA 979;;;;;ANDREA ESTELA CANO VERGARA 979;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANTONIO CID 712;;;;;ANTONIO CID 712;Comercial;1;;;;0;N;0;0;S
CABA;2095;ANTONIO FERNANDEZ 717;;;;;ANTONIO FERNANDEZ 717;Comercial;1;;;;0;N;0;0;S
