id_oc_bac;o_ente;aa_ocompra;t_ocompra;n_ocompra
7211-0317-OCA22;96905;2022;OCA;4
2900-0004-OCA20;96905;2020;OCA;346
2900-0003-OCA20;32321;2020;OCA;349
101-0010-OCA23;278388;2023;OCA;624
7116-0012-OCA23;96905;2023;OCA;12751
101-0039-OCA25;318443;2025;OCA;17049
550-0033-OCA19;120202;2019;OCA;19362
550-0035-OCA19;25975;2019;OCA;19659
550-0036-OCA19;196912;2019;OCA;20213
7411-0026-OCA20;198565;2020;OCA;21781
535-0058-OCA20;175950;2020;OCA;26832
500-0052-OCA23;32321;2023;OCA;26935
7450-0084-OCA21;226349;2021;OCA;27271
3187-0145-OCA25;32321;2025;OCA;30120
3187-0147-OCA25;272786;2025;OCA;30126
3187-0148-OCA25;132177;2025;OCA;30138
2175-0077-OCA18;82619;2018;OCA;30353
489-0098-OCA25;127405;2025;OCA;31149
489-0125-OCA25;82619;2025;OCA;31417
8914-0126-OCA19;157705;2019;OCA;31815
8914-0125-OCA19;44630;2019;OCA;31897
8914-0123-OCA19;227647;2019;OCA;31898
8914-0124-OCA19;77204;2019;OCA;32030
2900-0121-OCA21;127314;2021;OCA;32557
2900-0122-OCA21;193944;2021;OCA;32565
2900-0119-OCA21;49584;2021;OCA;32623
2900-0120-OCA21;215724;2021;OCA;32662
7162-0118-OCA21;157705;2021;OCA;32665
7450-0114-OCA21;82619;2021;OCA;32722
489-0072-OCA22;89670;2022;OCA;33509
7411-0049-OCA24;198565;2024;OCA;36717
7211-0086-OCA20;41291;2020;OCA;37067
7211-0087-OCA20;151400;2020;OCA;37073
7192-0165-OCA21;33819;2021;OCA;37210
7192-0161-OCA21;226349;2021;OCA;37224
7192-0162-OCA21;226349;2021;OCA;37225
7192-0166-OCA21;94546;2021;OCA;37242
7192-0160-OCA21;94546;2021;OCA;37243
7192-0163-OCA21;83261;2021;OCA;37265
7192-0164-OCA21;120202;2021;OCA;37275
2175-0156-OCA19;226349;2019;OCA;37529
7162-0088-OCA22;32321;2022;OCA;37628
7162-0089-OCA22;124204;2022;OCA;37659
7162-0087-OCA22;49584;2022;OCA;37672
7162-0090-OCA22;83261;2022;OCA;37695
8503-0193-OCA19;124204;2019;OCA;43534
