aa_ocompra;t_ocompra;n_ocompra;o_ente;c_unid_ejec;aa_oca_original;n_oca_original;fh_estado;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_ocompra
2014;SPR;31021;73450;578;2014;41967;2014-12-15 14:34:09;69877;55;0;0;3;3;5;1;425407,81;C
2015;SPR;30;116793;318;2014;56571;2015-03-04 10:41:27;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;37;116793;318;2014;56571;2015-03-04 10:41:29;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;57;116793;318;2014;56571;2015-03-04 10:41:40;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;62;116793;318;2014;56571;2015-03-04 10:41:45;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;65;116793;318;2014;56571;2015-03-04 10:41:49;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;67;116793;318;2014;56571;2015-03-04 10:41:51;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;11594;116793;318;2014;56571;2015-07-01 11:43:43;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;6125;116793;318;2014;56571;2015-04-13 10:49:46;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;6150;116793;318;2014;56571;2015-04-13 11:19:18;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;6153;116793;318;2014;56571;2015-04-13 11:22:14;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;3776;116793;318;2014;56571;2015-03-16 11:46:20;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;3793;116793;318;2014;56571;2015-03-16 11:46:57;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;8619;116793;318;2014;56571;2015-05-12 10:20:23;3673;21;0;0;3;3;5;1;10303;C
2015;SPR;3840;116793;318;2014;56571;2015-03-16 11:48:16;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;14953;116793;318;2014;56571;2015-07-22 10:59:16;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;14930;116793;318;2014;56571;2015-07-22 10:59:00;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;27426;116793;318;2014;56571;2015-11-23 11:55:28;3673;21;0;0;3;3;5;1;1001,5;C
2015;SPR;27428;116793;318;2014;56571;2015-11-23 11:55:30;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;27459;116793;318;2014;56571;2015-11-23 11:55:47;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;32023;116793;318;2014;56571;2016-01-21 11:57:53;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;20969;116793;318;2014;56571;2015-09-16 11:52:54;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;20986;116793;318;2014;56571;2015-09-16 11:56:53;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;32016;116793;318;2014;56571;2016-01-21 11:57:38;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;20272;73450;578;2015;24092;2015-09-21 11:53:14;246261;55;0;0;3;3;5;1;737154,47;C
2015;SPR;32029;116793;318;2014;56571;2016-01-21 11:58:04;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;32039;116793;318;2014;56571;2016-01-21 11:58:31;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;24570;116793;318;2014;56571;2015-10-28 13:20:08;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;24582;116793;318;2014;56571;2015-10-28 13:20:15;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;24592;116793;318;2014;56571;2015-10-28 13:20:23;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;31746;116793;318;2014;56571;2016-01-21 11:55:33;3673;21;0;0;3;3;5;1;2003;C
2015;SPR;31770;116793;318;2014;56571;2016-01-21 11:56:11;3673;21;0;0;3;3;5;1;2003;C
2016;SPR;8125;116793;9050;2014;56571;2016-05-18 10:34:25;10324;30;0;0;3;3;5;1;2003;C
2016;SPR;8119;116793;9050;2014;56571;2016-05-18 10:34:12;10324;30;0;0;3;3;5;1;2003;C
2016;SPR;8205;116793;9050;2014;56571;2016-05-27 10:10:51;10324;30;0;0;3;3;5;1;2003;C
2016;SPR;8258;116793;9050;2014;56571;2016-05-27 10:11:18;10324;30;0;0;3;3;5;1;2003;C
2016;SPR;8092;116793;9050;2014;56571;2016-04-25 12:41:26;10324;30;0;0;3;3;5;1;2003;C
2016;SPR;9899;116793;9050;2014;56571;2016-07-11 14:16:03;10324;30;0;0;3;3;5;1;2003;C
