aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2014;56571;2015;PRD;1152888;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;1152895;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;585379;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;585406;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;585410;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;548662;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;518525;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;518607;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;518612;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;518517;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;518549;3673;21;0;0;3;3;5;1;2003;A
2020;26832;2021;PRD;60590;18543;50;0;0;3;3;1;2;500214;A
2020;26261;2021;PRD;56121;18122;45;0;0;3;3;1;1;246356,41;A
2019;52184;2021;PRD;31993;24507;55;0;0;3;3;5;1;2734800;A
2020;37067;2021;PRD;92064;44363;20;23;0;3;3;1;14;236026,16;A
2020;37067;2021;PRD;92082;42771;20;23;0;3;3;9;14;6518,44;A
2020;26832;2021;PRD;267759;18543;50;0;0;3;3;1;2;500600;A
2020;37067;2021;PRD;279074;44363;20;23;0;3;3;1;14;36183,84;A
2021;32565;2021;PRD;240834;35432;26;26;0;3;3;3;4;1454402,44;A
2019;44929;2021;PRD;273242;60399;45;0;0;3;3;1;1;711951,2;A
2020;46023;2021;PRD;234359;35420;26;26;0;3;3;1;4;9849352,5;A
2020;46037;2021;PRD;276460;35420;26;26;0;3;3;1;4;3136234,65;A
2020;37067;2021;PRD;277990;44363;20;23;0;3;3;1;14;318864,21;A
2020;46024;2021;PRD;234367;35420;26;26;0;3;3;1;4;6503409,66;A
2014;56571;2015;PRD;443708;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;477140;3673;21;0;0;3;3;5;1;2003;A
2021;37242;2021;PRD;366756;44302;55;0;0;3;3;5;1;14583046,72;A
2021;37225;2021;PRD;366778;44302;55;0;0;3;3;5;1;14784820,42;A
2021;32565;2021;PRD;407441;35432;26;26;0;3;3;3;4;1090801,83;A
2020;346;2021;PRD;407494;35436;26;26;0;3;3;5;4;12051638,93;A
2020;46024;2021;PRD;407531;35420;26;26;0;3;3;1;4;6557518,18;A
