aa_ocompra;t_ocompra;n_ocompra;aa_factura;t_factura;o_factura;aa_precepcion;t_precepcion;n_precepcion;aa_formulario;t_formulario;o_formulario;f_emision;f_autorizacion;e_firma;u_firma;f_firma;f_vencimiento_factura;importe_op;importe_pago;fh_pago;c_mediopago;e_pago;importe_factura;neto
2009;OCC;36748;2009;FCG;276760;2009;PRD;237581;2009;C41;148934;2009-11-26 00:00:00;2009-12-01 00:00:00;;;;2009-11-19 00:00:00;21300;21300;2009-12-09 14:57:26;BANCO;C;21300;19598,3
2009;OCC;8292;2009;FCG;47002;2009;PRD;38940;2009;C41;25299;2009-04-08 00:00:00;2009-04-08 00:00:00;;;;2009-03-31 00:00:00;4300;4300;2009-04-16 16:03:51;BANCO;C;4300;4114
2008;OCC;48753;2008;FCG;285335;2008;PRD;271030;2008;C41;140932;2009-03-19 00:00:00;2009-03-20 00:00:00;;;;2009-03-22 00:00:00;28071;28071;2009-03-23 15:16:23;BANCO;C;28071;26458,74
2008;OCC;50797;2008;FCG;292243;2008;PRD;281670;2008;C41;151794;2009-08-24 00:00:00;2009-08-24 00:00:00;;;;2009-08-24 00:00:00;2310;2310;2009-09-03 12:54:00;BANCO;C;2310;2275,35
2008;OCC;48614;2008;FCG;290189;2008;PRD;270561;2008;C41;149368;2009-05-07 00:00:00;2009-05-07 00:00:00;;;;2009-05-05 00:00:00;46500;46500;2009-05-26 16:09:08;BANCO;C;46500;43048,95
2009;OCC;6502;2009;FCG;79976;2009;PRD;25995;2009;C41;38633;2009-05-07 00:00:00;2009-05-07 00:00:00;;;;2009-05-05 00:00:00;140000;140000;2009-05-18 15:54:52;BANCO;C;140000;129464,98
2009;OCC;2926;2009;FCG;85030;2009;PRD;80676;2009;C41;43438;2009-05-15 00:00:00;2009-05-15 00:00:00;;;;2009-05-11 00:00:00;1725;1725;2009-05-26 16:03:05;BANCO;C;1725;1693,5
2009;OCC;20000;2009;FCG;133840;2009;PRD;110245;2009;C41;71934;2009-07-10 00:00:00;2009-07-10 00:00:00;;;;2009-06-24 00:00:00;147106,47;147106,47;2009-07-23 15:33:09;BANCO;C;294212,94;136898,95
2009;OCC;30715;2009;FCG;196220;2009;PRD;184433;2009;C41;91874;2009-08-18 00:00:00;2009-08-18 00:00:00;;;;2009-08-16 00:00:00;2500;2500;2009-08-24 15:52:22;BANCO;C;2500;2500
2009;OCC;21197;2009;FCG;169191;2009;PRD;139438;2009;C41;92985;2009-08-19 00:00:00;2009-08-19 00:00:00;;;;2009-08-19 00:00:00;5700;5700;2009-10-06 14:03:44;BANCO;C;5700;5331,86
2010;OCC;8611;2010;FCG;59262;2010;PRD;47286;2010;C41;23546;2010-03-23 00:00:00;2010-03-23 00:00:00;;;;2010-03-21 00:00:00;9300;9300;2010-03-30 16:35:58;BANCO;C;9300;8744,25
2009;OCC;55078;2010;FCG;46268;2010;PRD;37895;2010;C41;21108;2010-03-17 00:00:00;2010-03-17 00:00:00;;;;2010-03-15 00:00:00;3100;3100;2010-03-25 13:27:25;BANCO;C;3100;2986
2009;OCC;1642;2010;FCG;46366;2010;PRD;38935;2010;C41;21842;2010-03-18 00:00:00;2010-03-22 00:00:00;;;;2010-03-15 00:00:00;2500;2500;2010-04-06 14:47:56;BANCO;C;2500;2500
2009;OCC;51652;2009;FCG;362410;2009;PRD;355021;2009;C41;181633;2010-02-26 00:00:00;2010-03-09 00:00:00;;;;2010-01-19 00:00:00;25200;25200;2010-03-16 13:09:10;BANCO;C;25200;23362,74
2009;OCC;54039;2009;FCG;370390;2009;PRD;368314;2009;C41;181649;2010-02-26 00:00:00;2010-03-05 00:00:00;;;;2010-02-09 00:00:00;3312,5;3312,5;2010-03-09 15:01:28;BANCO;C;3312,5;3312,5
