aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2019;20213;2019;DRP;6418;43891;55;0;0;57;3;3;5;0;1;84660,68;A
2019;20213;2019;DRP;6414;43891;55;0;0;57;3;3;5;0;1;84660,68;A
2019;31815;2021;DRP;3840;59164;35;0;0;91;3;3;1;0;7;169233,45;X
2019;31898;2020;DRP;4304;59164;35;35;0;91;3;3;1;0;7;457801,33;X
2019;31897;2020;DRP;3260;59164;35;35;0;91;3;3;1;0;7;165575,46;X
2019;31897;2020;DRP;4692;44459;35;35;0;91;3;3;1;0;1;290780,38;X
2019;31815;2020;DRP;663;44459;35;35;0;91;3;3;1;0;1;264858,22;X
2019;31815;2020;DRP;906;44459;35;35;0;91;3;3;1;0;1;199498,37;X
2019;52131;2020;DRP;8932;24497;55;0;0;57;3;3;5;0;1;165761,86;A
2019;52184;2020;DRP;6926;24497;55;0;0;57;3;3;5;0;1;1270314,6;A
2019;52131;2020;DRP;8949;24497;55;0;0;57;3;3;5;0;1;430980,83;A
2019;52184;2020;DRP;6919;24497;55;0;0;57;3;3;5;0;1;311227,08;A
2019;52253;2020;DRP;6075;24497;55;0;0;57;3;3;5;0;1;1712611,64;A
2019;31815;2021;DRP;5086;53010;35;0;0;91;3;3;1;0;1;101976,55;X
2019;31815;2021;DRP;278;53010;35;0;0;91;3;3;1;0;1;968069,23;X
2019;31898;2020;DRP;4441;53010;35;0;0;91;3;3;1;0;1;342162,8;A
2019;31897;2020;DRP;4420;53010;35;35;0;91;3;3;1;0;1;5579998;X
2019;31897;2020;DRP;3021;53010;35;35;0;91;3;3;1;0;1;1960353,19;X
2021;32665;2021;DRP;6030;9678;35;0;0;91;3;3;1;0;1;6082480,12;A
2019;31815;2021;DRP;5096;9678;35;0;0;91;3;3;1;0;1;963967,1;A
2019;31815;2021;DRP;5094;9678;35;0;0;91;3;3;1;0;1;1988891,86;A
2021;32665;2021;DRP;5095;9678;35;0;0;91;3;3;1;0;1;1505636,3;A
2021;32665;2021;DRP;5732;9678;35;0;0;91;3;3;1;0;1;2313708,23;A
2019;31815;2021;DRP;304;9678;35;0;0;91;3;3;1;0;1;771411,26;A
2020;37067;2021;DRP;9208;47349;20;23;0;70;3;3;3;0;14;82429,4;A
2020;37067;2021;DRP;6521;33941;20;23;0;70;3;3;6;0;14;1034522,04;A
2020;37067;2021;DRP;9208;33944;20;23;0;70;3;9;6;0;14;355531,1;A
2019;52253;2021;DRP;8495;24507;55;0;0;57;3;3;5;0;1;2871132,7;A
2019;52131;2021;DRP;8358;24507;55;0;0;57;3;3;5;0;1;136279,04;A
2019;52257;2021;DRP;6475;24507;55;0;0;57;3;3;5;0;1;833906,89;A
2019;52257;2021;DRP;4448;24507;55;0;0;57;3;3;5;0;1;233977,27;A
2019;52184;2021;DRP;1040;24507;55;0;0;57;3;3;5;0;1;1882278,57;A
2019;52184;2021;DRP;1039;24507;55;0;0;57;3;3;5;0;1;1618759,57;A
2019;52257;2021;DRP;1041;24507;55;0;0;57;3;3;5;0;1;446756,1;A
2021;37275;2021;DRP;13956;44302;55;0;0;3;3;3;5;0;1;71806,69;A
2021;37225;2021;DRP;14225;44302;55;0;0;3;3;3;5;0;1;475598,34;A
2021;37210;2021;DRP;13965;44302;55;0;0;3;3;3;5;0;1;5039586,45;A
2021;37265;2021;DRP;13944;44302;55;0;0;3;3;3;5;0;1;473671,88;A
2021;37225;2021;DRP;14221;44302;55;0;0;3;3;3;5;0;1;3712481,15;X
2021;37210;2021;DRP;13962;44302;55;0;0;3;3;3;5;0;1;190987,57;A
2021;37243;2021;DRP;9106;44302;55;0;0;3;3;3;5;0;1;192246,12;A
2021;37265;2021;DRP;9503;44302;55;0;0;3;3;3;5;0;1;605956,41;A
2021;37275;2021;DRP;10405;44302;55;0;0;3;3;3;5;0;1;2052319,23;A
2021;37243;2021;DRP;9097;44302;55;0;0;3;3;3;5;0;1;2005321,2;A
2021;37210;2021;DRP;8841;44302;55;0;0;3;3;3;5;0;1;2530933,51;A
