aa_ocompra;n_ocompra;aa_certificado;t_form_medicion;o_certificado;aa_factura;o_factura;t_factura;e_factura;t_fact_proveedor;n_suc_fact_proveedor;n_fact_proveedor;f_factura;fh_alta;f_autorizacion;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;i_pagado
2019;52253;2020;DRP;7702;2020;488498;FRP;Y;B;4;1153;2021-02-01 00:00:00;2021-02-02 09:17:43;2021-02-03 00:00:00;24497;55;0;0;57;3;3;5;0;1;1712611,64;1712611,64
2020;37073;2021;DRP;1876;2021;182523;FRP;Y;B;4;190;2021-05-18 00:00:00;2021-05-21 17:34:37;2021-05-26 00:00:00;44363;20;23;0;70;3;3;1;0;14;740915,12;740915,12
2019;52253;2020;DRP;6072;2020;427796;FRP;Y;B;4;1098;2020-12-03 00:00:00;2020-12-10 15:04:30;2020-12-14 00:00:00;24497;55;0;0;57;3;3;5;0;1;448704,25;448704,25
2019;31815;2020;DRP;937;2020;112014;FRP;Y;B;2;719;2020-04-04 00:00:00;2020-04-24 17:47:27;2020-04-27 00:00:00;53010;35;35;0;91;3;3;1;0;1;1267144,13;1267144,13
2019;52253;2020;DRP;7703;2020;490524;FRP;Y;B;4;1154;2021-02-01 00:00:00;2021-02-03 13:18:40;2021-02-05 00:00:00;24497;55;0;0;57;3;3;5;0;1;1712611,64;1712611,64
2019;20213;2019;DRP;6076;2019;513590;FRP;Y;B;4;2592;2019-11-30 00:00:00;2019-12-12 19:50:17;2019-12-20 00:00:00;43891;55;0;0;57;3;3;5;0;1;84660,68;84660,68
2019;52257;2021;DRP;1041;2021;196350;FRP;Y;B;4;2811;2021-06-02 00:00:00;2021-06-02 15:33:40;2021-06-03 00:00:00;24507;55;0;0;57;3;3;5;0;1;446756,1;446756,1
2019;31898;2020;DRP;4419;2020;334792;FRP;Y;B;2;13;2020-10-01 00:00:00;2020-10-05 09:21:41;2020-10-19 00:00:00;53010;35;0;0;91;3;3;1;0;1;795315,79;795315,79
2019;20213;2019;DRP;6418;2019;505495;FRP;Y;B;4;2598;2019-11-30 00:00:00;2019-12-06 19:41:34;2019-12-18 00:00:00;43891;55;0;0;57;3;3;5;0;1;84660,68;84660,68
2019;52257;2020;DRP;6110;2020;482057;FRP;Y;B;4;2556;2021-01-22 00:00:00;2021-01-22 09:46:04;2021-01-22 00:00:00;24497;55;0;0;57;3;3;5;0;1;446756,1;446756,1
2019;52184;2020;DRP;9447;2020;500368;FRP;Y;B;2;3301;2021-03-11 00:00:00;2021-03-15 09:57:48;2021-03-16 00:00:00;24497;55;0;0;57;3;3;5;0;1;348444,97;348444,97
2019;52184;2020;DRP;9448;2020;500369;FRP;Y;B;2;3302;2021-03-11 00:00:00;2021-03-15 09:57:48;2021-03-16 00:00:00;24497;55;0;0;57;3;3;5;0;1;348444,97;348444,97
2019;20213;2019;DRP;6412;2019;505490;FRP;Y;B;4;2593;2019-11-30 00:00:00;2019-12-06 19:41:33;2019-12-20 00:00:00;43891;55;0;0;57;3;3;5;0;1;128616,67;128616,67
2019;52131;2020;DRP;8929;2020;497526;FRP;Y;B;3;2078;2021-02-22 00:00:00;2021-02-23 14:50:56;2021-02-24 00:00:00;24497;55;0;0;57;3;3;5;0;1;165761,86;165761,86
2019;31815;2021;DRP;304;2021;87595;FRP;Y;B;2;797;2021-04-01 00:00:00;2021-04-06 11:14:48;2021-04-07 00:00:00;9678;35;0;0;91;3;3;1;0;1;771411,26;771411,26
2019;31898;2019;DRP;5986;2019;447300;FRP;Y;B;2;5;2019-11-05 00:00:00;2019-11-05 17:18:08;2019-11-11 00:00:00;59164;35;35;0;91;3;3;1;0;7;112256,69;112256,69
2019;52131;2020;DRP;8955;2020;497362;FRP;Y;B;3;2076;2021-02-22 00:00:00;2021-02-22 17:40:18;2021-02-23 00:00:00;24497;55;0;0;57;3;3;5;0;1;33152,37;33152,37
2019;20213;2019;DRP;6415;2019;505492;FRP;Y;B;4;2595;2019-11-30 00:00:00;2019-12-06 19:41:33;2019-12-20 00:00:00;43891;55;0;0;57;3;3;5;0;1;128616,67;128616,67
2019;52257;2021;DRP;4446;2021;287379;FRP;Y;B;4;2903;2021-08-04 00:00:00;2021-08-04 14:31:35;2021-08-05 00:00:00;24507;55;0;0;57;3;3;5;0;1;174238,39;174238,39
2019;52257;2021;DRP;4449;2021;287382;FRP;Y;B;4;2906;2021-08-04 00:00:00;2021-08-04 14:31:35;2021-08-06 00:00:00;24507;55;0;0;57;3;3;5;0;1;233977,27;233977,27
2019;52184;2021;DRP;3465;2021;224549;FRP;Y;B;2;3385;2021-06-14 00:00:00;2021-06-16 18:20:44;2021-06-17 00:00:00;24507;55;0;0;57;3;3;5;0;1;1882278,57;1882278,57
2019;52257;2021;DRP;4142;2021;287383;FRP;Y;B;4;2907;2021-08-04 00:00:00;2021-08-04 14:31:36;2021-08-06 00:00:00;24507;55;0;0;57;3;3;5;0;1;599929,62;599929,62
2019;52257;2020;DRP;6077;2020;423672;FRP;Y;B;4;2476;2020-12-09 00:00:00;2020-12-09 18:30:35;2020-12-11 00:00:00;24497;55;0;0;57;3;3;5;0;1;63822,3;63822,3
2021;32665;2021;DRP;5095;2021;287602;FRP;Y;B;2;861;2021-08-04 00:00:00;2021-08-04 15:40:55;2021-08-05 00:00:00;9678;35;0;0;91;3;3;1;0;1;1505636,3;1505636,3
2020;37067;2021;DRP;104;2021;233894;FRP;Y;B;7;433;2021-06-24 00:00:00;2021-06-24 10:31:38;2021-06-25 00:00:00;33944;20;23;0;70;3;9;6;0;14;1287506,62;1287506,62
2020;37067;2021;DRP;104;2021;233894;FRP;Y;B;7;433;2021-06-24 00:00:00;2021-06-24 10:31:38;2021-06-25 00:00:00;47349;20;23;0;70;3;3;3;0;14;600554,86;600554,86
2021;37243;2021;DRP;9097;2021;459496;FRP;Y;B;2;3422;2021-11-25 00:00:00;2021-11-25 15:24:19;2021-11-26 00:00:00;44302;55;0;0;3;3;3;5;0;1;2005321,2;2005321,2
2021;32665;2021;DRP;5099;2021;287604;FRP;Y;B;2;863;2021-08-04 00:00:00;2021-08-04 15:40:56;2021-08-05 00:00:00;9678;35;0;0;91;3;3;1;0;1;645875,59;645875,59
2021;32665;2021;DRP;5074;2021;287544;FRP;Y;B;2;857;2021-08-04 00:00:00;2021-08-04 15:27:11;2021-08-05 00:00:00;9678;35;0;0;91;3;3;1;0;1;1904849,34;1904849,34
2020;37067;2021;DRP;6521;2021;381031;FRP;Y;B;7;493;2021-10-01 00:00:00;2021-10-04 19:23:32;2021-10-07 00:00:00;33944;20;23;0;70;3;9;6;0;14;2450715,3;2450715,3
2021;37243;2021;DRP;14265;2021;534781;FRP;Y;B;2;3516;2022-01-31 00:00:00;2022-02-03 08:47:53;2022-02-08 00:00:00;44302;55;0;0;3;3;3;5;0;1;1490436,05;1490436,05
2021;37242;2021;DRP;14241;2021;534794;FRP;Y;B;2;3524;2022-01-31 00:00:00;2022-02-03 08:52:03;2022-02-08 00:00:00;44302;55;0;0;3;3;3;5;0;1;3975895,16;3975895,16
2021;37242;2021;DRP;10413;2021;501735;FRP;Y;B;2;3463;2021-12-21 00:00:00;2021-12-22 15:53:35;2021-12-28 00:00:00;44302;55;0;0;3;3;3;5;0;1;1938086,91;1938086,91
2021;37265;2021;DRP;13944;2021;533022;FRP;Y;B;2;3235;2022-01-28 00:00:00;2022-01-28 16:12:06;2022-02-01 00:00:00;44302;55;0;0;3;3;3;5;0;1;473671,88;473671,88
2021;37242;2021;DRP;8844;2021;472487;FRP;Y;B;2;3444;2021-11-30 00:00:00;2021-12-06 09:43:19;2021-12-07 00:00:00;44302;55;0;0;3;3;3;5;0;1;2043848,41;2043848,41
2021;37265;2021;DRP;13942;2021;533074;FRP;Y;B;2;3234;2022-01-28 00:00:00;2022-01-28 20:29:58;2022-02-02 00:00:00;44302;55;0;0;3;3;3;5;0;1;1652926,24;1652926,24
2021;37225;2021;DRP;14226;2021;537710;FRP;Y;B;2;507;2022-02-09 00:00:00;2022-02-09 15:29:14;2022-02-14 00:00:00;44302;55;0;0;3;3;3;5;0;1;26173,52;26173,52
2019;52131;2021;DRP;6827;2021;378698;FRP;Y;B;3;2276;2021-10-01 00:00:00;2021-10-01 16:06:32;2021-10-06 00:00:00;24507;55;0;0;57;3;3;5;0;1;155923,26;155923,26
2019;52131;2021;DRP;6828;2021;378699;FRP;Y;B;3;2277;2021-10-01 00:00:00;2021-10-01 16:06:32;2021-10-06 00:00:00;24507;55;0;0;57;3;3;5;0;1;155923,26;155923,26
2021;27271;2021;DRP;14449;2021;544885;FRP;Y;B;2;525;2022-03-02 00:00:00;2022-03-03 13:01:30;2022-03-03 00:00:00;60399;45;0;0;31;3;3;1;0;1;3157950,22;3157950,22
2019;52131;2021;DRP;6819;2021;378660;FRP;Y;B;3;2268;2021-10-01 00:00:00;2021-10-01 15:56:11;2021-10-05 00:00:00;24507;55;0;0;57;3;3;5;0;1;139793,26;139793,26
2021;37275;2021;DRP;10405;2021;512869;FRP;Y;B;4;3166;2022-01-05 00:00:00;2022-01-05 12:42:44;2022-01-11 00:00:00;44302;55;0;0;3;3;3;5;0;1;2052319,23;2052319,23
2021;37275;2021;DRP;10406;2021;512870;FRP;Y;B;4;3167;2022-01-05 00:00:00;2022-01-05 12:42:44;2022-01-11 00:00:00;44302;55;0;0;3;3;3;5;0;1;2011479,06;2011479,06
2021;37275;2021;DRP;10408;2021;512871;FRP;Y;B;4;3168;2022-01-05 00:00:00;2022-01-05 12:42:44;2022-01-11 00:00:00;44302;55;0;0;3;3;3;5;0;1;181113,1;181113,1
2021;37242;2022;DRP;1247;2022;86403;FRP;Y;B;2;3585;2022-03-31 00:00:00;2022-03-31 12:03:36;2022-04-01 00:00:00;45153;55;0;0;3;3;3;5;0;1;2667520,62;2667520,62
2021;37275;2021;DRP;13958;2021;551069;FRP;Y;B;4;3344;2022-04-07 00:00:00;2022-04-08 13:12:32;2022-04-11 00:00:00;44302;55;0;0;3;3;3;5;0;1;65466,87;65466,87
2021;37224;2022;DRP;1512;2022;97036;FRP;Y;B;2;577;2022-04-11 00:00:00;2022-04-11 10:43:19;2022-04-12 00:00:00;45153;55;0;0;3;3;3;5;0;1;3201612,01;3201612,01
2021;37243;2021;DRP;9102;2021;459499;FRP;Y;B;2;3426;2021-11-25 00:00:00;2021-11-25 15:24:20;2021-11-26 00:00:00;44302;55;0;0;3;3;3;5;0;1;1906678,26;1906678,26
2021;37243;2021;DRP;15023;2021;543458;FRP;Y;B;2;3534;2022-02-15 00:00:00;2022-02-25 16:10:33;2022-03-04 00:00:00;44302;55;0;0;3;3;3;5;0;1;3425503,37;3425503,37
2021;37225;2022;DRP;279;2022;78277;FRP;Y;B;2;563;2022-03-22 00:00:00;2022-03-22 20:53:25;2022-03-25 00:00:00;45153;55;0;0;3;3;3;5;0;1;930379,09;930379,09
2021;37265;2022;DRP;285;2022;83233;FRP;Y;B;2;3337;2022-03-15 00:00:00;2022-03-29 19:35:51;2022-03-30 00:00:00;45153;55;0;0;3;3;3;5;0;1;952765,68;952765,68
2021;37265;2021;DRP;9100;2021;459486;FRP;Y;B;2;3112;2021-11-25 00:00:00;2021-11-25 15:22:35;2021-11-29 00:00:00;44302;55;0;0;3;3;3;5;0;1;2163206,66;2163206,66
2021;32665;2021;DRP;12552;2021;528412;FRP;Y;B;2;937;2022-01-24 00:00:00;2022-01-24 11:26:21;2022-01-25 00:00:00;9678;35;0;0;91;3;3;1;0;1;10242885,68;10242885,68
2021;37210;2021;DRP;8838;2021;465335;FRP;Y;B;3;2325;2021-12-01 00:00:00;2021-12-01 13:05:05;2021-12-02 00:00:00;44302;55;0;0;3;3;3;5;0;1;3029970,35;3029970,35
2021;37242;2021;DRP;8847;2021;472485;FRP;Y;B;2;3442;2021-11-30 00:00:00;2021-12-06 09:43:18;2021-12-07 00:00:00;44302;55;0;0;3;3;3;5;0;1;1938086,91;1938086,91
2019;52131;2021;DRP;8358;2021;428204;FRP;Y;B;3;2307;2021-11-02 00:00:00;2021-11-05 14:22:50;2021-11-08 00:00:00;24507;55;0;0;57;3;3;5;0;1;136279,04;136279,04
2021;37243;2021;DRP;9106;2021;459498;FRP;Y;B;2;3425;2021-11-25 00:00:00;2021-11-25 15:24:19;2021-11-26 00:00:00;44302;55;0;0;3;3;3;5;0;1;192246,12;192246,12
2021;37225;2021;DRP;14228;2021;537713;FRP;Y;B;2;510;2022-02-09 00:00:00;2022-02-09 15:30:47;2022-02-14 00:00:00;44302;55;0;0;3;3;3;5;0;1;121519,91;121519,91
2021;37225;2021;DRP;14230;2021;539063;FRP;Y;B;2;516;2022-02-10 00:00:00;2022-02-10 18:08:01;2022-02-14 00:00:00;44302;55;0;0;3;3;3;5;0;1;3690205,54;3690205,54
2021;37242;2022;DRP;247;2022;86402;FRP;Y;B;2;3564;2022-03-22 00:00:00;2022-03-31 12:03:36;2022-04-01 00:00:00;45153;55;0;0;3;3;3;5;0;1;1932434,71;1932434,71
2021;32665;2021;DRP;15579;2021;548742;FRP;Y;B;2;962;2022-03-11 00:00:00;2022-03-14 09:39:16;2022-03-14 00:00:00;9678;35;0;0;91;3;3;1;0;1;4523445,94;4523445,94
2021;37275;2021;DRP;14264;2021;551071;FRP;Y;B;4;3346;2022-04-07 00:00:00;2022-04-08 13:12:33;2022-04-11 00:00:00;44302;55;0;0;3;3;3;5;0;1;3545417,24;3545417,24
2019;52184;2021;DRP;6875;2021;386161;FRP;Y;B;2;3499;2021-09-30 00:00:00;2021-10-06 14:49:49;2021-10-12 00:00:00;24507;55;0;0;57;3;3;5;0;1;2420398,78;2420398,78
2021;37225;2021;DRP;14225;2021;537711;FRP;Y;B;2;508;2022-02-09 00:00:00;2022-02-09 15:29:15;2022-02-14 00:00:00;44302;55;0;0;3;3;3;5;0;1;475598,34;475598,34
2019;52253;2022;DRP;2823;2022;185013;FRP;Y;B;4;1547;2022-06-01 00:00:00;2022-06-02 17:02:20;2022-06-03 00:00:00;23880;55;0;0;57;3;3;5;0;1;4628597,88;4628597,88
2019;52184;2022;DRP;2828;2022;207951;FRP;Y;B;2;3749;2022-06-06 00:00:00;2022-06-16 18:27:40;2022-06-21 00:00:00;23880;55;0;0;57;3;3;5;0;1;3602082,93;3602082,93
2021;37210;2022;DRP;3358;2022;214705;FRP;Y;B;3;2463;2022-06-22 00:00:00;2022-06-22 21:15:10;2022-06-24 00:00:00;54882;55;0;0;3;3;3;5;0;1;1258687,07;1258687,07
2021;65645;2022;DRP;4899;2022;337061;FRP;Y;B;4;6729;2022-07-26 00:00:00;2022-08-26 11:33:37;2022-08-27 00:00:00;39382;70;0;0;1;3;3;5;0;1;4134538,13;4134538,13
2019;52131;2022;DRP;1666;2022;106439;FRP;Y;B;3;2404;2022-04-13 00:00:00;2022-04-13 15:21:59;2022-04-18 00:00:00;23880;55;0;0;57;3;3;5;0;1;197153,18;197153,18
2021;65638;2022;DRP;4900;2022;322020;FRP;Y;B;4;4006;2022-07-28 00:00:00;2022-08-17 09:05:45;2022-08-19 00:00:00;48336;70;0;0;40;3;3;5;0;2;13132,1;13132,1
2021;65638;2022;DRP;4900;2022;322020;FRP;Y;B;4;4006;2022-07-28 00:00:00;2022-08-17 09:05:45;2022-08-19 00:00:00;56287;70;0;0;1;3;3;5;0;2;89476;89476
2019;52131;2022;DRP;1673;2022;139756;FRP;Y;B;3;2428;2022-05-02 00:00:00;2022-05-02 13:21:59;2022-05-04 00:00:00;23880;55;0;0;57;3;3;5;0;1;1005729,96;1005729,96
2020;37067;2022;DRP;2728;2022;192475;FRP;Y;B;7;628;2022-05-31 00:00:00;2022-06-07 18:41:58;2022-06-08 00:00:00;47155;20;23;0;70;3;3;9;0;14;1209,3;1209,3
2020;37067;2022;DRP;2728;2022;192475;FRP;Y;B;7;628;2022-05-31 00:00:00;2022-06-07 18:41:58;2022-06-08 00:00:00;47153;20;23;0;70;3;3;1;0;14;943557,59;943557,59
2021;65645;2022;DRP;6107;2022;336818;FRP;Y;B;4;6760;2022-08-19 00:00:00;2022-08-26 09:28:16;2022-08-27 00:00:00;53287;70;0;0;1;3;3;5;0;1;112784,11;112784,11
2021;65645;2022;DRP;6107;2022;336818;FRP;Y;B;4;6760;2022-08-19 00:00:00;2022-08-26 09:28:16;2022-08-27 00:00:00;58242;70;0;0;5;3;3;5;0;1;8006,17;8006,17
2021;37265;2022;DRP;6398;2022;345094;FRP;Y;B;2;3590;2022-08-29 00:00:00;2022-08-29 21:15:58;2022-09-05 00:00:00;45153;55;0;0;3;3;3;5;0;1;5396016,71;5396016,71
2021;65641;2022;DRP;6699;2022;348083;FRP;Y;B;4;3662;2022-08-29 00:00:00;2022-08-31 08:19:58;2022-08-31 00:00:00;39380;70;0;0;7;3;3;5;0;4;1526902,94;1526902,94
2021;65641;2022;DRP;6699;2022;348083;FRP;Y;B;4;3662;2022-08-29 00:00:00;2022-08-31 08:19:58;2022-08-31 00:00:00;46121;70;0;0;1;3;3;5;0;4;1408991,26;1408991,26
2021;65641;2022;DRP;6699;2022;348083;FRP;Y;B;4;3662;2022-08-29 00:00:00;2022-08-31 08:19:58;2022-08-31 00:00:00;49452;70;0;0;59;3;3;5;0;4;2087063,91;2087063,91
2021;65641;2022;DRP;6699;2022;348083;FRP;Y;B;4;3662;2022-08-29 00:00:00;2022-08-31 08:19:58;2022-08-31 00:00:00;48338;70;0;0;40;3;3;5;0;4;4307818,57;4307818,57
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;39389;70;0;0;1;3;3;5;0;8;3427278,94;3427278,94
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;46122;70;0;0;1;3;3;5;0;1;440905,21;440905,21
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;53911;70;0;0;48;3;3;5;0;1;24742,19;24742,19
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;58248;70;0;0;5;3;3;5;0;9;1766,51;1766,51
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;46831;70;0;0;1;3;3;5;0;8;177088,04;177088,04
2021;65639;2022;DRP;6885;2022;373394;FRP;Y;B;3;20091;2022-09-08 00:00:00;2022-09-13 13:28:03;2022-09-13 00:00:00;46832;70;0;0;1;3;3;5;0;9;146591,71;146591,71
2021;65639;2022;DRP;6647;2022;354493;FRP;Y;B;3;20041;2022-09-01 00:00:00;2022-09-05 13:29:53;2022-09-06 00:00:00;46122;70;0;0;1;3;3;5;0;1;1167442,02;1167442,02
2021;65639;2022;DRP;6647;2022;354493;FRP;Y;B;3;20041;2022-09-01 00:00:00;2022-09-05 13:29:53;2022-09-06 00:00:00;39382;70;0;0;1;3;3;5;0;1;55151,92;55151,92
2021;65639;2022;DRP;6647;2022;354493;FRP;Y;B;3;20041;2022-09-01 00:00:00;2022-09-05 13:29:53;2022-09-06 00:00:00;54925;70;0;0;1;3;3;5;0;1;404931,85;404931,85
2021;65639;2022;DRP;6647;2022;354493;FRP;Y;B;3;20041;2022-09-01 00:00:00;2022-09-05 13:29:53;2022-09-06 00:00:00;55143;70;0;0;3;3;3;5;0;9;4295,72;4295,72
2019;52253;2022;DRP;7076;2022;395814;FRP;Y;B;4;1652;2022-09-21 00:00:00;2022-09-29 16:37:33;2022-09-30 00:00:00;23880;55;0;0;57;3;3;5;0;1;953965,4;953965,4
2021;65638;2022;DRP;7489;2022;455016;FRP;Y;B;4;4164;2022-10-20 00:00:00;2022-10-31 14:14:26;2022-11-05 00:00:00;46129;70;0;0;1;3;3;5;0;2;599372;599372
2021;65638;2022;DRP;7489;2022;455016;FRP;Y;B;4;4164;2022-10-20 00:00:00;2022-10-31 14:14:26;2022-11-05 00:00:00;48335;70;0;0;40;3;3;5;0;1;6566,05;6566,05
2021;65638;2022;DRP;7489;2022;455016;FRP;Y;B;4;4164;2022-10-20 00:00:00;2022-10-31 14:14:26;2022-11-05 00:00:00;54930;70;0;0;1;3;3;5;0;14;43277,14;43277,14
2021;65638;2022;DRP;7489;2022;455016;FRP;Y;B;4;4164;2022-10-20 00:00:00;2022-10-31 14:14:26;2022-11-05 00:00:00;61223;70;0;0;59;3;3;5;0;2;758816,87;758816,87
2021;65639;2022;DRP;5912;2022;328996;FRP;Y;B;3;20005;2022-08-18 00:00:00;2022-08-22 09:39:32;2022-08-25 00:00:00;46122;70;0;0;1;3;3;5;0;1;679066,61;679066,61
2021;65639;2022;DRP;5912;2022;328996;FRP;Y;B;3;20005;2022-08-18 00:00:00;2022-08-22 09:39:32;2022-08-25 00:00:00;55145;70;0;0;2;3;3;5;0;1;28034,17;28034,17
2021;65639;2022;DRP;5912;2022;328996;FRP;Y;B;3;20005;2022-08-18 00:00:00;2022-08-22 09:39:32;2022-08-25 00:00:00;58101;70;0;0;59;3;3;5;0;9;196902,48;196902,48
2021;65644;2022;DRP;6216;2022;326652;FRP;Y;B;3;22;2022-08-17 00:00:00;2022-08-18 15:13:55;2022-08-19 00:00:00;46122;70;0;0;1;3;3;5;0;1;135812,23;135812,23
2021;65644;2022;DRP;6216;2022;326652;FRP;Y;B;3;22;2022-08-17 00:00:00;2022-08-18 15:13:55;2022-08-19 00:00:00;53286;70;0;0;1;3;3;5;0;4;276936,56;276936,56
2021;65644;2022;DRP;5121;2022;323864;FRP;Y;B;3;21;2022-08-17 00:00:00;2022-08-17 15:46:41;2022-08-18 00:00:00;39382;70;0;0;1;3;3;5;0;1;315861,75;315861,75
2021;65641;2022;DRP;5452;2022;302012;FRP;Y;B;4;3633;2022-08-05 00:00:00;2022-08-08 16:29:32;2022-08-08 00:00:00;53913;70;0;0;1;3;3;5;0;4;239714,59;239714,59
2021;65642;2022;DRP;6374;2022;350828;FRP;Y;B;2;3737;2022-08-30 00:00:00;2022-09-01 08:08:13;2022-09-01 00:00:00;49455;70;0;0;59;3;3;5;0;12;505305,74;505305,74
2019;52253;2022;DRP;1626;2022;106848;FRP;Y;B;4;1512;2022-04-13 00:00:00;2022-04-13 17:45:19;2022-04-18 00:00:00;23880;55;0;0;57;3;3;5;0;1;1031696,88;1031696,88
2021;65642;2022;DRP;6050;2022;336293;FRP;Y;B;2;3734;2022-08-18 00:00:00;2022-08-25 17:49:48;2022-08-27 00:00:00;45128;70;0;0;26;3;3;5;0;13;96641,26;96641,26
2021;65642;2022;DRP;6050;2022;336293;FRP;Y;B;2;3734;2022-08-18 00:00:00;2022-08-25 17:49:48;2022-08-27 00:00:00;50949;70;0;0;2;3;3;5;0;13;18166,11;18166,11
2021;65642;2022;DRP;6050;2022;336293;FRP;Y;B;2;3734;2022-08-18 00:00:00;2022-08-25 17:49:48;2022-08-27 00:00:00;48345;70;0;0;40;3;3;5;0;11;115196,21;115196,21
2021;37225;2022;DRP;3386;2022;241739;FRP;Y;B;3;39;2022-07-07 00:00:00;2022-07-08 21:31:38;2022-07-11 00:00:00;54882;55;0;0;3;3;3;5;0;1;6146490,57;6146490,57
2021;37275;2022;DRP;6403;2022;374517;FRP;Y;B;4;3703;2022-09-12 00:00:00;2022-09-14 08:15:35;2022-09-15 00:00:00;45153;55;0;0;3;3;3;5;0;1;4770479,08;4770479,08
2019;52184;2022;DRP;1928;2022;149879;FRP;Y;B;2;3717;2022-04-30 00:00:00;2022-05-06 16:27:45;2022-05-09 00:00:00;23880;55;0;0;57;3;3;5;0;1;3241874,63;3241874,63
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;39393;70;0;0;1;3;3;5;0;13;1925203,89;1925203,89
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;39395;70;0;0;1;3;3;5;0;89;4690808,96;4690808,96
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;46551;70;0;0;1;3;3;5;0;89;1065079,07;1065079,07
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;48345;70;0;0;40;3;3;5;0;11;189251,65;189251,65
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;48346;70;0;0;40;3;3;5;0;12;59555,22;59555,22
2021;65642;2022;DRP;6648;2022;351142;FRP;Y;B;2;3736;2022-08-30 00:00:00;2022-09-01 10:51:29;2022-09-01 00:00:00;49451;70;0;0;59;3;3;5;0;3;86553,63;86553,63
2021;37210;2022;DRP;2199;2022;149881;FRP;Y;B;3;2435;2022-05-05 00:00:00;2022-05-06 16:27:46;2022-05-09 00:00:00;45153;55;0;0;3;3;3;5;0;1;2016027,14;2016027,14
2021;37265;2022;DRP;3808;2022;225079;FRP;Y;B;2;3487;2022-06-30 00:00:00;2022-06-30 17:17:37;2022-07-04 00:00:00;45153;55;0;0;3;3;3;5;0;1;1964161,66;1964161,66
2021;65643;2022;DRP;6109;2022;325736;FRP;Y;B;2;3568;2022-08-16 00:00:00;2022-08-18 08:51:55;2022-08-19 00:00:00;39394;70;0;0;1;3;3;5;0;15;371954,89;371954,89
