aa_ocompra;t_ocompra;n_ocompra;e_ocompra;fh_estado;o_ente;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;c_procedimiento;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total
2023;OCC;68884;C;2023-09-19 10:51:17;311990;2021;OCA;65644;220;59958;26;26;0;3;3;1;1;661960,44
2023;OCC;70112;C;2023-09-22 11:12:22;311990;2021;OCA;65644;220;62725;35;0;0;3;3;1;1;4012676,21
2023;OCC;75416;C;2023-10-18 15:25:13;32321;2021;OCA;65639;220;59921;40;0;0;3;3;1;1;399384,26
2023;OCC;67423;C;2023-09-12 15:05:36;32321;2021;OCA;65639;220;59958;26;26;0;3;3;1;1;6581356,53
2023;OCC;75773;C;2023-10-19 15:19:57;83261;2021;OCA;65643;220;64685;20;27;210;3;3;1;1;1227916,55
2024;OCC;54833;C;2024-11-07 16:08:46;32321;2023;OCA;76141;220;54481;20;21;0;3;3;1;1;143957
2023;OCC;76842;C;2023-10-24 15:36:34;96905;2011;OCC;10342;220;46685;70;0;0;3;3;1;1;68077275,81
2023;OCC;66034;C;2023-09-05 17:06:59;120202;2021;OCA;65641;220;59921;40;0;0;3;3;1;1;691022,94
2023;OCC;66466;C;2023-09-07 11:13:38;94546;2021;OCA;65642;220;62375;70;71;0;3;3;1;1;199320830,3
2025;OCC;27774;C;2025-04-30 15:13:15;32321;2023;OCA;76138;220;40304;21;0;0;3;3;1;1;1640610,28
2025;OCC;29485;C;2025-05-13 11:11:31;32118;2023;OCA;76137;220;39993;50;0;0;3;3;1;1;9505,21
2025;OCC;24040;C;2025-04-08 12:09:09;94546;2021;OCA;65642;220;44816;45;0;0;3;3;1;1;331708,52
2025;OCC;22597;C;2025-03-26 16:41:58;311990;2021;OCA;65644;220;44726;24;0;0;3;3;1;4;20262434,26
2024;OCC;68933;C;2025-02-10 12:35:56;94546;2021;OCA;65642;220;54481;20;21;0;3;3;1;1;2466180,93
2024;OCC;69063;C;2025-02-12 20:28:27;32879;2023;OCA;76141;220;59357;50;0;0;3;3;1;1;12822025,09
2024;OCC;69066;C;2025-02-12 20:32:52;32879;2023;OCA;76141;220;50318;55;0;0;3;3;1;1;8064780,95
2024;OCC;69072;C;2025-02-12 20:45:43;32879;2023;OCA;76141;220;67926;40;0;0;3;3;1;1;491627,07
2024;OCC;69077;C;2025-02-13 11:25:32;32879;2023;OCA;76137;220;64579;50;0;0;3;3;1;1;1089650,97
2024;OCC;69079;C;2025-02-13 11:25:38;32879;2023;OCA;76135;220;59353;45;0;0;3;3;1;1;4699174,56
2024;OCC;69080;C;2025-02-13 11:25:41;32879;2023;OCA;76135;220;59355;31;0;0;3;3;1;1;411445,33
2024;OCC;69091;C;2025-02-13 12:31:54;26205;2023;OCA;76134;220;59357;50;0;0;3;3;1;1;1041148,05
2024;OCC;69092;C;2025-02-13 12:31:48;26205;2023;OCA;76134;220;61885;60;0;0;3;3;1;1;105696
2024;OCC;66588;C;2025-01-17 13:01:58;32321;2021;OCA;65639;220;59349;21;0;0;3;3;1;1;330313,34
2024;OCC;66603;C;2025-01-17 13:02:01;32321;2021;OCA;65639;220;54481;20;21;0;3;3;1;1;358799,98
2024;OCC;65069;C;2025-01-13 10:59:16;83261;2023;OCA;76141;220;54481;20;21;0;3;3;1;1;664357,6
2024;OCC;67363;C;2025-01-24 11:05:51;73551;2023;OCA;76141;220;64579;50;0;0;3;3;1;1;47385,85
2024;OCC;67366;C;2025-01-24 11:10:49;73551;2023;OCA;76141;220;61887;24;0;0;3;3;1;1;1693858,15
2024;OCC;68477;C;2025-01-31 19:26:57;94546;2021;OCA;65642;220;54481;20;21;0;3;3;1;1;2913600,86
2024;OCC;68480;C;2025-01-31 19:27:05;94546;2021;OCA;65642;220;59941;21;0;0;3;3;1;1;45120165,37
2021;OCC;41412;C;2021-07-29 13:42:06;32879;2019;OCC;29301;220;30457;20;21;0;3;3;1;4;923095,8
2023;OCC;51130;C;2023-07-05 15:57:42;96905;2011;OCC;10342;220;46685;70;0;0;3;3;1;1;22834311,38
2023;OCC;52005;C;2023-07-10 12:25:13;32118;2021;OCA;65638;220;27122;70;0;0;3;3;1;4;13186041,55
2022;OCC;69656;C;2022-11-16 15:49:01;32879;2021;OCC;32595;220;47512;70;71;0;3;3;1;4;6983414
2022;OCC;67516;C;2022-11-03 16:30:01;311990;2021;OCA;65644;220;4096;21;0;0;3;3;1;4;147063
2023;OCC;54800;C;2023-07-19 12:50:26;32879;2021;OCC;32595;220;39219;70;71;0;3;3;1;4;2785650
2022;OCC;81914;Z;2023-01-31 11:25:02;32879;2021;OCC;32595;220;47512;70;71;0;3;3;1;4;867800
2022;OCC;81514;C;2023-01-18 15:33:05;32321;2021;OCA;65639;220;63582;50;0;0;3;3;1;4;25160,85
2022;OCC;82074;C;2023-01-24 13:39:37;32879;2021;OCC;32595;220;47512;70;71;0;3;3;1;4;148923,63
2022;OCC;76311;C;2023-01-24 13:08:21;32879;2021;OCC;32595;220;47512;70;71;0;3;3;1;4;883311,4
2022;OCC;76323;C;2023-01-24 13:08:21;32879;2021;OCC;32595;220;47512;70;71;0;3;3;1;4;1486324
2022;OCC;84359;C;2023-02-22 18:17:52;83261;2022;OCC;70439;220;27127;70;0;0;3;3;1;4;24390446,67
2022;OCC;84367;C;2023-02-23 12:42:39;32321;2021;OCA;65639;220;70432;55;0;0;3;3;1;4;268337,08
2022;OCC;84500;C;2023-02-23 18:22:34;94546;2022;OCC;72278;220;4096;21;0;0;3;3;1;4;124835150,6
2022;OCC;84339;C;2023-02-17 16:32:34;311990;2021;OCA;65644;220;70396;9;0;0;3;3;1;4;4072309,21
2022;OCC;84347;C;2023-02-22 12:13:29;32118;2021;OCA;65638;220;17806;50;0;0;3;3;1;4;46407,79
2022;OCC;83717;C;2023-02-10 16:25:44;32321;2021;OCA;65639;220;47303;70;71;0;3;3;1;4;83869,5
2023;OCC;33463;C;2023-04-20 11:08:55;311990;2021;OCA;65644;220;52746;45;0;0;3;3;1;4;7469309,11
2023;OCC;93038;C;2024-03-20 11:04:31;275932;2021;OCA;65645;220;59958;26;26;0;3;3;1;1;1009830,97
2023;OCC;93023;C;2024-03-19 14:37:47;32879;2023;OCA;28334;220;59926;50;0;0;3;3;1;1;665427,85
2023;OCC;93057;C;2024-03-20 14:37:48;83261;2021;OCA;65643;220;59926;50;0;0;3;3;1;1;173835,16
2023;OCC;92921;C;2024-03-08 13:55:33;32118;2021;OCA;65638;220;62685;45;0;0;3;3;1;1;940294,77
2023;OCC;93064;C;2024-03-20 15:17:35;32321;2021;OCA;65639;220;66850;70;0;0;3;3;1;1;483542,04
2023;OCC;92827;C;2024-03-04 17:02:03;311990;2021;OCA;65644;220;62685;45;0;0;3;3;1;1;492356,73
2023;OCC;92796;C;2024-03-04 14:24:34;120202;2021;OCA;65641;220;62724;20;30;0;3;3;1;1;7745270,86
2023;OCC;93044;C;2024-03-20 11:39:48;32321;2021;OCA;65639;220;59958;26;26;0;3;3;1;1;648900,22
2023;OCC;36491;C;2023-05-03 12:00:55;96905;2011;OCC;10342;220;46685;70;0;0;3;3;1;1;5984080,69
2023;OCC;74285;Z;2023-10-10 16:03:44;124204;2023;OCC;44004;220;47218;35;0;0;3;3;5;1;155561,41
2025;OCC;34038;C;2025-06-10 11:47:30;73551;2022;OCA;78336;220;41571;55;0;0;3;3;1;1;861053,24
2025;OCC;35601;C;2025-06-18 16:39:03;32879;2023;OCA;76137;220;49802;20;28;0;3;3;1;1;786092,02
2025;OCC;35605;C;2025-06-18 16:39:08;32879;2023;OCA;76139;220;39993;50;0;0;3;3;1;1;1183321,85
2025;OCC;35609;C;2025-06-18 16:49:13;32879;2023;OCA;76137;220;44797;24;0;0;3;3;1;1;41170,89
2025;OCC;35617;C;2025-06-18 16:52:19;32879;2023;OCA;76137;220;40003;24;0;261;3;3;1;1;1354974,89
2023;OCC;84620;C;2023-12-04 15:05:56;32118;2021;OCA;65638;220;59960;26;26;0;3;3;1;4;4054657,55
2023;OCC;80790;C;2023-11-16 12:32:53;32848;2021;OCC;32593;220;58589;70;71;0;3;3;1;1;6272420
2023;OCC;80419;C;2023-11-14 14:21:34;32321;2021;OCA;65639;220;63865;70;71;0;3;3;1;8;100001290,8
2023;OCC;85602;C;2023-12-06 14:40:30;120202;2021;OCA;65641;220;59936;70;0;0;3;3;1;4;47691966,98
2024;OCC;59632;C;2024-12-09 11:06:43;32321;2023;OCA;76141;220;54481;20;21;0;3;3;1;1;186600,95
2024;OCC;59634;C;2024-12-09 11:08:20;32321;2023;OCA;76141;220;57114;29;0;0;3;3;1;1;108184,27
2024;OCC;49076;C;2024-10-03 14:44:08;32321;2021;OCA;65639;220;59351;40;0;0;3;3;1;1;210150,67
2024;OCC;64438;C;2025-01-08 15:17:06;311990;2021;OCA;65644;220;61885;60;0;0;3;3;1;1;694018,91
2024;OCC;64439;C;2025-01-08 15:17:07;311990;2021;OCA;65644;220;61887;24;0;0;3;3;1;1;237096,5
2024;OCC;64320;C;2025-01-07 16:12:37;32321;2021;OCA;65639;220;59357;50;0;0;3;3;1;1;482741,08
2024;OCC;51840;C;2024-10-21 12:23:47;83261;2021;OCA;65643;220;59351;40;0;0;3;3;1;1;6629391,5
2024;OCC;49213;C;2024-10-04 13:35:55;311990;2021;OCA;65644;220;59355;31;0;0;3;3;1;1;573180
2024;OCC;49219;C;2024-10-04 13:36:10;311990;2021;OCA;65644;220;57114;29;0;0;3;3;1;1;2353922,79
2024;OCC;64260;C;2025-01-07 12:10:04;120202;2021;OCA;65641;220;54481;20;21;0;3;3;1;1;1352392,14
2024;OCC;50590;C;2024-10-14 17:14:26;120202;2021;OCA;65641;220;59351;40;0;0;3;3;1;1;68244
2024;OCC;55103;C;2024-11-08 16:17:59;32879;2023;OCA;76141;220;50318;55;0;0;3;3;1;1;302940
2024;OCC;63481;C;2024-12-27 15:38:29;26296;2023;OCA;76141;220;57114;29;0;0;3;3;1;1;1631258,98
2024;OCC;57582;C;2024-11-28 13:11:53;26296;2021;OCA;65640;220;54101;40;0;0;3;3;1;1;150965,1
2024;OCC;54458;C;2024-11-06 11:58:37;120202;2021;OCA;65641;220;64373;20;21;0;3;3;1;1;6952893
2024;OCC;54932;C;2024-11-08 13:22:10;32118;2023;OCA;76140;220;57114;29;0;0;3;3;1;1;2154071,36
2024;OCC;34469;C;2024-07-04 17:01:48;83261;2023;OCA;76134;220;56474;29;0;0;3;3;1;4;1235371,72
2024;OCC;34315;C;2024-07-03 14:16:44;275932;2023;OCA;76134;220;56474;29;0;0;3;3;1;4;903956,86
2024;OCC;46733;C;2024-09-18 14:59:20;94546;2021;OCA;65642;220;59347;20;0;0;3;3;1;1;387817,18
2024;OCC;45247;C;2024-09-06 14:32:02;32879;2023;OCA;76141;220;59351;40;0;0;3;3;1;1;1112886,51
2024;OCC;39993;C;2024-08-05 18:00:09;311990;2023;OCA;76140;220;53767;21;0;0;3;3;1;4;16072196,31
2024;OCC;37927;C;2024-07-23 17:06:27;32118;2023;OCA;76141;220;57114;29;0;0;3;3;1;1;1678093,39
2024;OCC;47373;C;2024-09-20 15:17:04;120202;2021;OCA;65641;220;57114;29;0;0;3;3;1;1;22015056,22
2024;OCC;47375;C;2024-09-20 15:18:52;120202;2021;OCA;65641;220;57126;50;0;0;3;3;1;1;33157
2024;OCC;47398;C;2024-09-20 15:36:44;120202;2021;OCA;65641;220;57114;29;0;0;3;3;1;1;3787617,14
2024;OCC;45183;C;2024-09-06 11:19:15;32118;2023;OCA;76141;220;59347;20;0;0;3;3;1;1;207557,85
2024;OCC;48901;C;2024-10-02 12:41:30;311990;2021;OCA;65644;220;59357;50;0;0;3;3;1;1;25160,85
2024;OCC;48897;C;2024-10-02 12:38:56;311990;2021;OCA;65644;220;54101;40;0;0;3;3;1;1;50231,7
2024;OCC;41185;C;2024-08-12 14:45:46;26296;2024;OCC;34689;220;54101;40;0;0;3;3;1;1;221415,48
2024;OCC;37982;C;2024-07-24 11:23:01;120202;2023;OCA;76141;220;56474;29;0;0;3;3;1;4;13644094,4
2024;OCC;37996;C;2024-07-24 12:11:31;26296;2023;OCA;76141;220;56474;29;0;0;3;3;1;4;1008026
2024;OCC;69112;C;2025-02-13 15:17:38;49584;2025;OCO;8;220;48646;35;0;0;3;3;5;1;2219588,77
2022;OCC;34316;C;2022-05-13 00:25:43;120202;2019;OCB;11597;220;4755;21;0;0;3;3;5;7;492964,76
2022;OCC;84348;C;2023-02-22 12:42:47;124204;2022;OCO;171;220;65023;35;0;0;3;3;5;1;3154643,08
2022;OCC;84563;C;2023-02-24 12:17:16;124204;2022;OCC;84546;220;65023;35;0;0;3;3;5;1;374441,67
2022;OCC;85492;C;2023-03-01 15:39:57;83261;2022;OCC;85489;220;65023;35;0;0;3;3;5;1;2190139,8
2022;OCC;85501;C;2023-03-01 15:46:24;83261;2022;OCC;85497;220;65023;35;0;0;3;3;5;1;2730439,27
2022;OCC;84310;C;2023-02-16 15:53:03;49584;2022;OCC;84309;220;65023;35;0;0;3;3;5;1;190089,24
2022;OCC;84342;C;2023-02-17 17:04:02;32321;2021;OCA;65639;220;48338;40;0;0;3;3;5;4;5157974,56
2022;OCC;84334;C;2023-02-17 14:27:36;311990;2021;OCA;65644;220;48338;40;0;0;3;3;5;4;3521622,44
2022;OCC;85487;C;2023-03-01 15:33:04;83261;2022;OCC;48164;220;65023;35;0;0;3;3;5;1;435923,65
2023;OCC;76515;C;2023-10-23 16:02:11;49584;2023;OCC;66762;220;47218;35;0;0;3;3;5;1;3663180,36
2023;OCC;75966;C;2023-10-20 12:02:11;124204;2023;OCC;74293;220;47218;35;0;0;3;3;5;1;708883,6
2024;OCC;68658;C;2025-02-05 11:43:48;49584;2024;OCB;16992;220;48646;35;0;0;3;3;5;1;22326524,84
2021;OCC;72984;C;2022-01-04 12:15:17;216656;2019;OCA;43555;220;3716;21;0;0;3;3;5;5;188180,5
2021;OCC;73255;C;2022-01-05 15:25:33;120202;2019;OCB;11597;220;3722;21;0;0;3;3;5;11;152882,45
2022;OCC;82419;C;2023-01-27 06:52:29;216656;2019;OCA;43555;220;4750;21;0;0;3;3;5;2;175199,87
2022;OCC;78684;C;2023-01-03 15:54:13;120202;2019;OCB;11597;220;4755;21;0;0;3;3;5;7;371053,64
2022;OCC;77225;C;2022-12-28 15:29:39;120202;2019;OCB;11597;220;4757;21;0;0;3;3;5;9;148732,95
2022;OCC;85406;C;2023-03-01 11:14:45;49584;2022;OCC;84311;220;65023;35;0;0;3;3;5;1;3756989,53
2023;OCC;24915;C;2023-03-07 16:17:05;49584;2022;OCC;85411;220;47218;35;0;0;3;3;5;1;6860766,72
2023;OCC;66888;C;2023-09-08 15:16:54;32321;2021;OCA;65639;220;59926;50;0;0;3;3;1;1;1350376,1
2023;OCC;79275;C;2023-11-07 11:39:40;120202;2021;OCA;65641;220;59926;50;0;0;3;3;1;1;2360816,27
2023;OCC;63848;C;2023-08-28 13:18:53;311990;2021;OCA;65644;220;59928;50;0;513;3;3;1;1;7491415,06
2024;OCC;66607;C;2025-01-17 13:02:03;32321;2021;OCA;65639;220;62663;35;0;0;3;3;1;4;35013001,57
2023;OCC;67519;C;2023-09-12 16:27:57;32321;2021;OCA;65639;220;62685;45;0;0;3;3;1;1;3801795,65
2023;OCC;67530;C;2023-09-12 16:47:39;32321;2021;OCA;65639;220;59928;50;0;513;3;3;1;1;75523,64
2023;OCC;66032;C;2023-09-05 16:55:49;120202;2021;OCA;65641;220;59940;70;0;0;3;3;1;4;16383696,48
2023;OCC;66472;C;2023-09-07 11:20:13;94546;2021;OCA;65642;220;59921;40;0;0;3;3;1;1;318950,17
2025;OCC;22528;C;2025-03-26 15:17:12;311990;2021;OCA;65644;220;39993;50;0;0;3;3;1;1;35784,32
2025;OCC;27621;C;2025-04-29 17:35:21;311990;2023;OCA;76135;220;44794;50;0;513;3;3;1;1;537641,66
2024;OCC;69067;C;2025-02-12 20:34:05;32879;2023;OCA;76139;220;64641;50;0;0;3;3;1;1;1305369,78
2025;OCC;22601;C;2025-03-26 16:44:52;311990;2021;OCA;65644;220;44962;31;0;0;3;3;1;1;20707,96
2025;OCC;22602;C;2025-03-26 16:46:17;311990;2021;OCA;65644;220;39993;50;0;0;3;3;1;1;756186,27
2024;OCC;68943;C;2025-02-13 12:31:46;26205;2023;OCA;76134;220;50318;55;0;0;3;3;1;1;148620
2024;OCC;69060;C;2025-02-12 20:19:08;32879;2023;OCA;76134;220;59349;21;0;0;3;3;1;1;23693414,93
2024;OCC;69062;C;2025-02-12 20:23:09;32879;2023;OCA;76140;220;60897;50;0;513;3;3;1;1;33482137,22
2024;OCC;67501;C;2025-01-24 17:40:42;32879;2023;OCA;76141;220;61887;24;0;0;3;3;1;1;2459893,1
2024;OCC;67464;C;2025-01-24 16:01:18;32879;2023;OCA;76141;220;59349;21;0;0;3;3;1;1;8568358,73
2024;OCC;68903;C;2025-02-10 10:18:54;311990;2021;OCA;65644;220;60897;50;0;513;3;3;1;1;534407,08
