t_ocompra;aa_ocompra;n_ocompra;aa_precepcion;t_precepcion;n_precepcion;o_ente;c_unid_ejec;fh_autorizacion;fh_alta;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;e_formulario
OCC;2023;70095;2023;PRD;347470;311990;;2023-09-22 00:00:00;2023-09-22 10:51:25;2021;OCA;65644;A
OCC;2023;67529;2023;PRD;332957;26296;;2023-09-13 00:00:00;2023-09-12 16:50:34;2021;OCA;65640;A
OCC;2023;67489;2023;PRD;332588;32321;;2023-09-12 00:00:00;2023-09-12 15:59:44;2021;OCA;65639;A
OCC;2023;72033;2023;PRD;353585;83261;;2023-09-28 00:00:00;2023-09-28 16:37:34;2021;OCA;65643;A
OCC;2023;79506;2023;PRD;420440;26296;;2023-11-08 00:00:00;2023-11-08 11:24:57;2021;OCA;65640;A
OCC;2022;57467;2022;PRD;289635;120202;;2023-02-07 00:00:00;2022-09-12 09:56:33;2020;OCC;36838;A
OCC;2023;69538;2023;PRD;344711;32118;;2023-09-20 00:00:00;2023-09-20 14:54:20;2021;OCA;65638;A
OCC;2025;27774;2025;PRD;117512;32321;;2025-04-30 00:00:00;2025-04-30 15:18:42;2023;OCA;76138;A
OCC;2024;69087;2024;PRD;469112;26205;;2025-02-13 00:00:00;2025-02-13 16:11:38;2023;OCA;76134;A
OCC;2024;68903;2024;PRD;468829;311990;;2025-02-10 00:00:00;2025-02-10 13:24:28;2021;OCA;65644;A
OCC;2024;68913;2024;PRD;468837;275932;;2025-02-10 00:00:00;2025-02-10 13:49:24;2021;OCA;65645;A
OCC;2024;68914;2024;PRD;468854;275932;;2025-02-10 00:00:00;2025-02-10 14:49:32;2021;OCA;65645;A
OCC;2024;68495;2024;PRD;468023;26296;;2025-01-31 00:00:00;2025-01-31 21:55:17;2021;OCA;65640;A
OCC;2024;66603;2024;PRD;464267;32321;;2025-01-17 00:00:00;2025-01-17 16:17:22;2021;OCA;65639;A
OCC;2024;65063;2024;PRD;460848;83261;;2025-01-13 00:00:00;2025-01-13 11:05:36;2023;OCA;76141;A
OCC;2024;68062;2024;PRD;467194;120202;;2025-01-29 00:00:00;2025-01-29 16:26:15;2021;OCA;65641;A
OCC;2024;67595;2024;PRD;466411;32321;;2025-01-27 00:00:00;2025-01-27 15:49:22;2021;OCA;65639;A
OCC;2024;67598;2024;PRD;466395;32321;;2025-01-27 00:00:00;2025-01-27 15:28:27;2021;OCA;65639;A
OCC;2024;67456;2024;PRD;466079;32879;;2025-01-24 00:00:00;2025-01-24 15:56:11;2023;OCA;76134;A
OCC;2024;67499;2024;PRD;466127;32879;;2025-01-24 00:00:00;2025-01-24 17:28:15;2023;OCA;76135;A
OCC;2024;68978;2024;PRD;468889;120202;;2025-02-10 00:00:00;2025-02-10 20:10:02;2021;OCA;65641;A
OCC;2024;68979;2024;PRD;468890;94546;;2025-02-10 00:00:00;2025-02-10 20:12:07;2021;OCA;65642;A
OCC;2024;68981;2024;PRD;468888;311990;;2025-02-10 00:00:00;2025-02-10 20:08:26;2021;OCA;65644;A
OCC;2024;64865;2024;PRD;460499;311990;;2025-01-10 00:00:00;2025-01-10 15:37:16;2021;OCA;65644;A
OCC;2024;64867;2024;PRD;460476;120202;;2025-01-10 00:00:00;2025-01-10 15:28:21;2021;OCA;65641;A
OCC;2024;68480;2024;PRD;468005;94546;;2025-01-31 00:00:00;2025-01-31 19:52:14;2021;OCA;65642;A
OCC;2024;68507;2024;PRD;468140;32118;;2025-02-03 00:00:00;2025-02-03 11:08:26;2021;OCA;65638;A
OCC;2024;66593;2024;PRD;464018;26296;;2025-01-17 00:00:00;2025-01-17 12:44:30;2023;OCA;76134;A
OCC;2021;39823;2021;PRD;211186;83261;;2021-07-20 00:00:00;2021-07-20 15:06:34;2019;OCC;29304;A
OCC;2022;67577;2022;PRD;366273;311990;;2022-11-07 00:00:00;2022-11-04 11:50:19;2021;OCA;65644;A
OCC;2023;60163;2023;PRD;272660;96905;;2023-08-08 00:00:00;2023-08-08 14:49:53;2011;OCC;10342;A
OCC;2023;54823;2023;PRD;254046;32879;;2023-07-26 00:00:00;2023-07-26 15:10:56;2021;OCC;32595;A
OCC;2023;46488;2023;PRD;191893;311990;;2023-06-15 00:00:00;2023-06-15 12:54:06;2021;OCA;65644;A
OCC;2023;47350;2023;PRD;194871;32118;;2023-06-21 00:00:00;2023-06-21 14:19:33;2021;OCA;65638;A
OCC;2021;75741;2021;PRD;416187;32321;;2022-01-28 00:00:00;2022-01-28 15:44:08;2019;OCB;5978;A
OCC;2022;67527;2022;PRD;365293;311990;;2022-11-03 00:00:00;2022-11-03 17:15:41;2021;OCA;65644;J
OCC;2022;82138;2022;PRD;448115;32321;;2023-01-25 00:00:00;2023-01-24 17:25:44;2021;OCA;65639;A
OCC;2022;82074;2022;PRD;448030;32879;;2023-01-24 00:00:00;2023-01-24 14:01:02;2021;OCC;32595;A
OCC;2022;76311;2022;PRD;448017;32879;;2023-01-24 00:00:00;2023-01-24 13:20:58;2021;OCC;32595;A
OCC;2022;76150;2022;PRD;447982;32885;;2023-01-24 00:00:00;2023-01-24 12:38:36;2021;OCC;32594;A
OCC;2022;77703;2022;PRD;435099;83261;;2022-12-29 00:00:00;2022-12-29 14:53:01;2021;OCA;65643;A
OCC;2022;84367;2022;PRD;452171;32321;;2023-02-23 00:00:00;2023-02-23 12:45:26;2021;OCA;65639;A
OCC;2022;84112;2022;PRD;451823;120202;;2023-02-14 00:00:00;2023-02-14 16:55:29;2021;OCA;65641;A
OCC;2022;84535;2022;PRD;452365;94546;;2023-02-24 00:00:00;2023-02-24 11:02:02;2021;OCA;65642;A
OCC;2022;84344;2022;PRD;452135;32321;;2023-02-17 00:00:00;2023-02-17 17:29:01;2021;OCA;65639;A
OCC;2022;84113;2022;PRD;451824;120202;;2023-02-14 00:00:00;2023-02-14 16:55:32;2021;OCA;65641;A
OCC;2022;83717;2022;PRD;451285;32321;;2023-02-14 00:00:00;2023-02-10 16:35:43;2021;OCA;65639;A
OCC;2023;34510;2023;PRD;124897;32118;;2023-04-25 00:00:00;2023-04-25 10:41:45;2021;OCA;65638;A
OCC;2023;33463;2023;PRD;119372;311990;;2023-04-20 00:00:00;2023-04-20 11:13:00;2021;OCA;65644;A
OCC;2025;36148;2025;PRD;183221;311990;;2025-06-23 00:00:00;2025-06-23 16:56:01;2021;OCA;65644;A
OCC;2023;93034;2023;PRD;501084;73551;;2024-03-20 00:00:00;2024-03-20 10:24:27;2022;OCA;78336;A
OCC;2023;93035;2023;PRD;501081;73551;;2024-03-20 00:00:00;2024-03-20 10:17:18;2022;OCA;78336;A
OCC;2023;92775;2023;PRD;500622;32321;;2024-03-04 00:00:00;2024-03-01 09:36:03;2021;OCA;65639;A
OCC;2023;93045;2023;PRD;501103;26296;;2024-03-20 00:00:00;2024-03-20 12:06:02;2021;OCA;65640;A
OCC;2025;32378;2025;PRD;152168;32321;;2025-05-28 00:00:00;2025-05-28 16:41:30;2023;OCA;76134;A
OCC;2025;34038;2025;PRD;171922;73551;;;2025-06-10 12:08:44;2022;OCA;78336;X
OCC;2025;32218;2025;PRD;150550;311990;;2025-05-27 00:00:00;2025-05-27 20:45:33;2023;OCA;76139;A
OCC;2025;32219;2025;PRD;150548;311990;;2025-05-27 00:00:00;2025-05-27 20:42:52;2023;OCA;76139;A
OCC;2025;35603;2025;PRD;180834;32879;;2025-06-18 00:00:00;2025-06-18 17:06:35;2023;OCA;76137;A
OCC;2025;35608;2025;PRD;180835;32879;;2025-06-19 00:00:00;2025-06-18 17:08:30;2023;OCA;76140;A
OCC;2025;35609;2025;PRD;180837;32879;;2025-06-18 00:00:00;2025-06-18 17:09:44;2023;OCA;76137;A
OCC;2024;59638;2024;PRD;436667;32321;;2024-12-09 00:00:00;2024-12-09 11:30:09;2023;OCA;76141;A
OCC;2023;80790;2023;PRD;438390;32848;;;2023-11-16 12:35:35;2021;OCC;32593;X
OCC;2024;61627;2024;PRD;448132;94546;;2024-12-17 00:00:00;2024-12-17 15:22:53;2021;OCA;65642;A
OCC;2024;49075;2024;PRD;360135;32321;;2024-10-03 00:00:00;2024-10-03 15:06:19;2021;OCA;65639;A
