aa_ocompra;t_ocompra;n_ocompra;aa_factura;t_factura;o_factura;aa_precepcion;t_precepcion;n_precepcion;aa_formulario;t_formulario;o_formulario;f_emision;f_autorizacion;e_firma;u_firma;f_firma;f_vencimiento_factura;importe_op;importe_pago;fh_pago;c_mediopago;e_pago;importe_factura;neto
2021;OCC;38614;2021;FCG;282004;2021;PRD;212376;2021;C41;234201;2021-07-30 00:00:00;2021-07-30 00:00:00;F;RGAUTO3;2021-08-01 22:41:20;2021-08-11 00:00:00;2533500;2533500;2021-08-19 12:00:16;CH_DIF;C;2533500;283852,09
2021;OCC;72984;2021;FCG;534227;2021;PRD;408737;2021;C41;494347;2022-02-22 00:00:00;2022-02-22 00:00:00;F;VBERALDI;2022-02-23 09:30:06;2022-03-18 00:00:00;5277830,03;5277830,03;2022-03-25 17:44:44;CH_DIF;C;31666980,18;2214028,18
2021;OCC;73255;2021;FCG;549124;2021;PRD;409510;2021;C41;499263;2022-03-28 00:00:00;2022-03-28 00:00:00;F;JCGAUTO2;2022-03-28 13:49:49;2022-04-29 00:00:00;5529799,19;5529799,19;2022-04-26 13:06:47;CH_DIF;C;27648995,95;600000
2021;OCC;75730;2021;FCG;536206;2021;PRD;416165;2021;C41;491636;2022-02-10 00:00:00;2022-02-10 00:00:00;F;VBERALDI;2022-02-10 11:32:41;2022-02-21 00:00:00;3118063,68;3118063,68;2022-02-18 16:42:43;CH_DIF;C;3118063,68;2635696,83
2022;OCC;34314;2022;FCG;168809;2022;PRD;144829;2022;C41;156006;2022-05-20 00:00:00;2022-05-20 00:00:00;F;JCGAUTO2;2022-05-23 09:33:36;2022-07-05 00:00:00;179682,06;179682,06;2022-06-06 11:03:15;BANCO;C;179682,06;174599,22
2022;OCC;36250;2022;FCG;189773;2022;PRD;152977;2022;C41;181504;2022-06-10 00:00:00;2022-06-10 00:00:00;F;JCGAUTO2;2022-06-10 15:15:48;2022-07-20 00:00:00;845308,31;845308,31;2022-07-04 10:25:05;BANCO;C;845308,31;708116,86
2022;OCC;57467;2022;FCG;582943;2022;PRD;289635;2022;C41;504139;2023-03-02 00:00:00;2023-03-07 00:00:00;F;LGABELLI;2023-03-08 13:34:29;2023-03-15 00:00:00;201652,38;201652,38;2023-03-13 10:35:27;BANCO;C;201652,38;176417,99
2022;OCC;67485;2022;FCG;478074;2022;PRD;365045;2022;C41;413975;2022-11-15 00:00:00;2022-11-16 00:00:00;F;RGAUTO3;2022-11-16 10:04:01;2022-11-30 00:00:00;50321,7;50321,7;2022-11-28 11:44:17;BANCO;C;50321,7;42200,44
2022;OCC;72459;2022;FCG;536702;2022;PRD;398500;2022;C41;469726;2022-12-27 00:00:00;2023-01-06 00:00:00;F;RGAUTO3;2023-01-06 13:56:03;2023-01-06 00:00:00;121610,86;121610,86;2023-04-05 12:55:16;BANCO;C;243221,72;101317,78
2022;OCC;76300;2022;FCG;571894;2022;PRD;448012;2022;C41;495371;2023-01-30 00:00:00;2023-01-30 00:00:00;F;RGAUTO3;2023-01-31 11:45:56;2023-02-13 00:00:00;330244,1;330244,1;2023-02-08 10:15:43;BANCO;C;330244,1;314249,69
2022;OCC;77187;2022;FCG;555140;2022;PRD;436546;2022;C41;484506;2023-01-10 00:00:00;2023-01-10 00:00:00;F;JCGAUTO2;2023-01-11 08:31:31;2023-02-15 00:00:00;2322740,35;2322740,35;2023-01-30 10:35:36;BANCO;C;9290961,4;1943417,32
2022;OCC;84310;2022;FCG;583334;2022;PRD;452074;2022;C41;506079;2023-03-13 00:00:00;2023-03-13 00:00:00;F;FRANCHEL3;2023-03-13 13:44:10;2023-03-16 00:00:00;190089,24;190089,24;2023-03-28 12:12:44;BANCO;C;190089,24;183208,53
2022;OCC;84298;2022;FCG;583333;2022;PRD;452050;2022;C41;506077;2023-03-13 00:00:00;2023-03-13 00:00:00;F;FRANCHEL3;2023-03-13 13:44:07;2023-03-16 00:00:00;1781203,37;1781203,37;2023-03-28 12:12:44;BANCO;C;1781203,37;1705483,96
2022;OCC;84546;2022;FCG;582446;2022;PRD;452373;2022;C41;503499;2023-02-28 00:00:00;2023-02-28 00:00:00;F;FRANCHEL3;2023-02-28 15:20:05;2023-03-13 00:00:00;741029,99;741029,99;2023-03-27 10:33:19;BANCO;C;741029,99;615370,65
2022;OCC;82351;2022;FCG;572217;2022;PRD;448705;2022;C41;495663;2023-01-31 00:00:00;2023-02-14 00:00:00;F;RGAUTO3;2023-02-14 13:54:32;2023-02-14 00:00:00;50321,7;50321,7;2023-04-05 12:55:18;BANCO;C;50321,7;42200,44
2022;OCC;84098;2022;FCG;581883;2022;PRD;451812;2022;C41;502669;2023-02-23 00:00:00;2023-03-01 00:00:00;F;RGAUTO3;2023-03-02 15:51:09;2023-03-08 00:00:00;471643,73;471643,73;2023-03-06 10:47:08;BANCO;C;2358218,65;451763,16
2022;OCC;84342;2022;FCG;582258;2022;PRD;452133;2022;C41;503052;2023-02-24 00:00:00;2023-02-24 00:00:00;F;VBERALDI;2023-02-27 09:24:10;2023-03-10 00:00:00;5157974,56;5157974,56;2023-03-06 10:46:53;BANCO;C;5157974,56;4275309,33
2022;OCC;84341;2022;FCG;582607;2022;PRD;452132;2022;C41;503819;2023-03-01 00:00:00;2023-03-01 00:00:00;F;JCGAUTO2;2023-03-02 12:32:16;2023-03-13 00:00:00;9155872,48;9155872,48;2023-03-06 10:47:13;BANCO;C;18311744,96;8829761,02
2022;OCC;84313;2022;FCG;582262;2022;PRD;452083;2022;C41;503070;2023-02-24 00:00:00;2023-02-24 00:00:00;F;BUONVISO2;2023-02-24 12:00:49;2023-03-10 00:00:00;6546959,5;6546959,5;2023-03-06 10:47:08;BANCO;C;6546959,5;5750883,24
2023;OCC;68881;2023;FCG;419469;2023;PRD;342319;2023;C41;370326;2023-09-20 00:00:00;2023-09-20 00:00:00;F;GEPEREYRA;2023-09-20 14:50:59;2023-10-04 00:00:00;2197888,3;2197888,3;2023-10-09 10:53:14;BANCO;C;2197888,3;1823886,11
2023;OCC;92893;2023;FCG;673175;2023;PRD;500832;2023;C41;557265;2024-03-14 00:00:00;2024-03-14 00:00:00;F;RGAUTO3;2024-03-15 14:04:22;2024-04-03 00:00:00;56036704,81;56036704,81;2024-03-25 09:35:03;BANCO;C;56036704,81;51372182,08
2022;OCC;84365;2022;FCG;583713;2022;PRD;452166;2022;C41;504688;2023-03-06 00:00:00;2023-03-10 00:00:00;F;RGAUTO3;2023-03-13 14:32:33;2023-03-17 00:00:00;1739695,54;1739695,54;2023-03-28 12:12:34;BANCO;C;1739695,54;1425481,19
2022;OCC;84367;2022;FCG;583110;2022;PRD;452171;2022;C41;504565;2023-03-06 00:00:00;2023-03-06 00:00:00;F;CCORREA2;2023-03-06 11:57:23;2023-03-15 00:00:00;268337,08;268337,08;2023-03-20 10:57:25;BANCO;C;268337,08;258071,02
2022;OCC;84535;2022;FCG;583157;2022;PRD;452365;2022;C41;504290;2023-03-03 00:00:00;2023-03-03 00:00:00;F;JCGAUTO2;2023-03-03 11:47:18;2023-03-15 00:00:00;1187511,7;1187511,7;2023-04-14 13:30:49;BANCO;C;1187511,7;1146384,38
2022;OCC;85482;2022;FCG;584296;2022;PRD;453432;2022;C41;505088;2023-03-07 00:00:00;2023-03-07 00:00:00;F;LGABELLI;2023-03-08 13:35:23;2023-03-21 00:00:00;50321,7;50321,7;2023-03-10 10:42:00;BANCO;C;50321,7;40690,79
2023;OCC;24915;2023;FCG;67556;2023;PRD;56971;2023;C41;66707;2023-03-15 00:00:00;2023-03-15 00:00:00;F;FRANCHEL3;2023-03-15 11:22:53;2023-03-22 00:00:00;5831555,54;5831555,54;2023-03-28 12:55:32;BANCO;C;5831555,54;5580599,83
2023;OCC;34532;2023;FCG;147537;2023;PRD;125012;2023;C41;130920;2023-04-26 00:00:00;2023-04-26 00:00:00;F;RGAUTO3;2023-04-26 15:04:17;2023-05-11 00:00:00;20534778,21;20534778,21;2023-05-02 13:42:28;BANCO;C;20534778,21;16811384,39
