o_ente;denom_ente;nro_oc_sigaf
96905;LX ARGENTINA S.A.;4
96905;LX ARGENTINA S.A.;346
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;349
278388;NUGENSER S.A.;624
96905;LX ARGENTINA S.A.;12751
73450;VOLTA AMBIENTAL S.R.L;16049
318443;SERVEC S.A.;17049
120202;EMEVEVE S.A.;19362
33803;SIMPLIA S.A ;19395
25975;LIMPOL S.A.;19659
196912;WALTER LEONARDO PEREZ;20213
83261;LOGISTICAL SA;20559
198565;JUAN DOMINGO QUIRÓZ;21781
73450;VOLTA AMBIENTAL S.R.L;24092
226349;BENCEN CONSTRUCCIONES SRL;26261
175950;TIGA ESTUDIO SRL;26832
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;26935
226349;BENCEN CONSTRUCCIONES SRL;27271
96905;LX ARGENTINA S.A.;29408
96905;LX ARGENTINA S.A.;29898
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;29901
120202;EMEVEVE S.A.;29903
290820;CLINES SA;29904
96905;LX ARGENTINA S.A.;30114
127314;SAUBER ARGENTINA S.A;30115
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;30120
272786;TIAN SERVICIOS SA;30126
32118;LINSER S.A.C.I.S.;30128
132177;IMPECABLE LIMPIEZA INTEGRAL S.R.L.;30138
94546;REX ARGENTINA SA;30139
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;30353
73450;VOLTA AMBIENTAL S.R.L;31001
127405;INFRAESTRUCTURA URBANA S.A.;31149
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;31417
157705;GARBIN SA;31815
44630;INDUSTRIAS MAS SRL;31897
50530;ANSELMI INDUSTRIA PUBLICITARIA SACI;31996
226349;BENCEN CONSTRUCCIONES SRL;32019
77204;GRAFT ESTUDIO SRL;32030
226349;BENCEN CONSTRUCCIONES SRL;32296
127314;SAUBER ARGENTINA S.A;32557
193944;DEJESUS CONSTRUCTORA SRL;32565
49584;MIAVASA S.A.;32623
215724;SUR CONSTRUCCIONES Y CIA SA;32662
157705;GARBIN SA;32665
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;32722
89670;ALGIERI S.A.;33509
198565;JUAN DOMINGO QUIRÓZ;36717
60721;CLARYTY S.R.L.;36823
33819;LESSIVER S.R.L.;36824
226349;BENCEN CONSTRUCCIONES SRL;36826
60721;CLARYTY S.R.L.;36827
41291;BMZ OPERACIÓN Y MANTENIMIENTO EDILICIO SA;37067
151400;DISAB SUDAMERICANA S.A.;37073
33819;LESSIVER S.R.L.;37210
226349;BENCEN CONSTRUCCIONES SRL;37224
226349;BENCEN CONSTRUCCIONES SRL;37225
94546;REX ARGENTINA SA;37242
94546;REX ARGENTINA SA;37243
83261;LOGISTICAL SA;37265
120202;EMEVEVE S.A.;37275
226349;BENCEN CONSTRUCCIONES SRL;37529
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;37628
124204;GRUPO VARSOVIA S.R.L. ;37659
49584;MIAVASA S.A.;37672
83261;LOGISTICAL SA;37695
73450;VOLTA AMBIENTAL S.R.L;40527
32078;INFRAESTRUCTURA BASICA APLICADA S.A.;41533
73450;VOLTA AMBIENTAL S.R.L;41967
208444;GRUPO EXPO S.A.;42073
208444;GRUPO EXPO S.A.;42202
278385;MACAFE INGENIERIA SA;42726
193932;COOPERATIVA DE TRABAJO 27 DE OCTUBRE LIMITADA;43515
21799;GRACIELA ANGELES VILA;43516
124204;GRUPO VARSOVIA S.R.L. ;43534
67400;COOPERATIVA DE TRABAJO CSI LTDA;43539
160383;BAIRESLIMPIA S.R.L.;43545
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;44929
215266;REDES SUSTENTABLES SRL;45222
226349;BENCEN CONSTRUCCIONES SRL;45230
122770;VENEGONI HNOS EMPRESA CONSTRUCTORA SA;45705
32930;MANTELECTRIC I.C.I.S.A.;46005
32847;ILUBAIRES S.A.;46014
127314;SAUBER ARGENTINA S.A;46015
49584;MIAVASA S.A.;46023
193944;DEJESUS CONSTRUCTORA SRL;46024
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;46037
202308;UNNO CONSTRUCCIONES S.R.L.;46098
44630;INDUSTRIAS MAS SRL;46158
127405;INFRAESTRUCTURA URBANA S.A.;46290
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;46291
226349;BENCEN CONSTRUCCIONES SRL;49402
318443;SERVEC S.A.;50733
198565;JUAN DOMINGO QUIRÓZ;50897
33819;LESSIVER S.R.L.;52131
25975;LIMPOL S.A.;52184
79225;DISTRIBON SRL;52253
120202;EMEVEVE S.A.;52257
125621;CONSTRUCTORA SERVICIOS DE CATEGORIA SA;53374
124230;LEMME OBRAS CIVILES SRL;53443
126937;PRINT TEAM SRL;53456
199719;MASA DESARROLLOS SRL;54913
304076;A-GROUP ABERTURAS SAS;54979
49584;MIAVASA S.A.;56153
127042;BLUE STEEL S. A.;56156
124204;GRUPO VARSOVIA S.R.L. ;56498
116793;A LIMPIAR S.A.;56571
127042;BLUE STEEL S. A.;58216
120202;EMEVEVE S.A.;58305
94546;REX ARGENTINA SA;59159
76449;ALFREDO SAMPEDRO;59519
96905;LX ARGENTINA S.A.;59528
320689;COOPERATIVA DE TRABAJO VIRGENCITA DE CAACUPÉ LIMITADA;59742
82619;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;61477
96905;LX ARGENTINA S.A.;61985
32271;FILIP S.A.;62035
213258;INMAC INGENIERIA Y ARQUITECTURA S. A.;62049
59527;BS AS CONSTRUPC S.R.L.;62067
215724;SUR CONSTRUCCIONES Y CIA SA;62072
32118;LINSER S.A.C.I.S.;65638
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;65639
26296;MARTIN Y CIA SA;65640
120202;EMEVEVE S.A.;65641
94546;REX ARGENTINA SA;65642
83261;LOGISTICAL SA;65643
311990;LX ARGENTINA S.A Y MIG S.A U.T.E;65644
275932;ISS FACILITY SERVICES S.R.L.;65645
278388;NUGENSER S.A.;66386
96905;LX ARGENTINA S.A.;75485
120202;EMEVEVE S.A.;75533
32118;LINSER S.A.C.I.S.;75547
272786;TIAN SERVICIOS SA;75581
32321;LA MANTOVANA DE SERVICIOS GENERALES S.A.;75680
124204;GRUPO VARSOVIA S.R.L. ;75681
41291;BMZ OPERACIÓN Y MANTENIMIENTO EDILICIO SA;77145
163690;GENTE DE LIMPIEZA S.A.;77397
120202;EMEVEVE S.A.;77398
201840;RMA TECNOSTYLE S.A.;78622
83261;LOGISTICAL SA;84055
83261;LOGISTICAL SA;84056
226349;BENCEN CONSTRUCCIONES SRL;84138
83261;LOGISTICAL SA;84384
94546;REX ARGENTINA SA;84483
94546;REX ARGENTINA SA;84680
83261;LOGISTICAL SA;85404
309531;OTEGUI OBRAS SRL;84168
227647;PEDREIRA S.R.L.;31898
254664;SERVBA S.A.;36825
216656;GRUB S. A.;43555
216656;GRUB S. A.;75558
76456;ROWING S.A;64202
